iso2,country,authority,roles,candidate_label,candidate_url,final_url,access_state,http_status,title,publication_relevance,observed_months_2024_2026,observed_month_count,latest_observed_month,provisional_cadence_signal,interpretation,error
BE,Belgium,National Bank of Belgium,central_banking;prudential_supervision;insurance,Advance notice of events,https://www.nbb.be/en/news-events/events/advance-notice-events,https://www.nbb.be/en/news-events/events/advance-notice-events,challenge-protected,200,Advance notice of events | National Bank of Belgium,not-observable,,0,,not-observable,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BZ,Belize,Central Bank of Belize,central_banking;prudential_supervision,"Press Release The Central Bank, FIU, and FSC Sign Governance Agreements for the Use of the Sanctions Registry System July 27, 2026 The Central Bank of Belize (the Central Bank), the Financial Intelligence Unit (FIU), and the Financial Services Commission (FSC) have signed governance agreements establishing the framework for the shared use of the Sanctions Registry System (SRS).",https://www.centralbank.org.bz/detail-pages/news/2026/07/27/the-central-bank--fiu--and-fsc-sign-governance-agreements-for-the-use-of-the-sanctions-registry-system,https://www.centralbank.org.bz/detail-pages/news/2026/07/27/the-central-bank--fiu--and-fsc-sign-governance-agreements-for-the-use-of-the-sanctions-registry-system,reachable,200,"The Central Bank, FIU, and FSC Sign Governance Agreements for the Use of the Sanctions Registry System | Central Bank of Belize",strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BZ,Belize,Financial Intelligence Unit Belize (FIU-Belize),financial_intelligence,UN Consolidated Sanctions List,https://scsanctions.un.org/consolidated/,https://unsolprodfiles.blob.core.windows.net/publiclegacyxmlfiles/EN/consolidatedLegacyByNAME.html?sv=2024-05-04&st=2026-08-20T12%3A10%3A45Z&se=2026-08-20T13%3A10%3A45Z&sr=b&sp=r&sig=a6jAserH89q0g4hTYsDOc36X1eO1wghFrj676YXd2aM%3D&rscd=attachment%3B%20filename%3D%22consolidatedLegacyByNAME.html%22,reachable,200,,strong-official-publication-candidate,2024-05;2024-12;2026-02;2026-06,4,2026-06,periodic-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BZ,Belize,Financial Services Commission,securities,Enforcement,https://www.belizefsc.org.bz/enforcement/,https://www.belizefsc.org.bz/enforcement/,reachable,200,Enforcement | FSC Enforcement Regulations,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BJ,Benin,Central Bank of West African States (BCEAO),central_banking;prudential_supervision,Legal Notice,https://www.bceao.int/en,https://www.bceao.int/en,reachable,200,BCEAO | Banque Centrale des Etats de l’Afrique de l’Ouest,generic-or-ambiguous-link,2026-03;2026-05;2026-06;2026-07,4,2026-07,periodic-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BJ,Benin,Conférence Interafricaine des Marchés d'Assurances (CIMA),insurance,Décisions du Conseil des Ministres des Assurances,https://cima-afrique.org/decisions-du-cma/,https://cima-afrique.org/decisions-du-cma/,reachable,200,Décisions du CMA – CIMA,generic-or-ambiguous-link,2026-07,1,2026-07,low-frequency-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BM,Bermuda,Financial Intelligence Agency Bermuda (FIA),financial_intelligence,Sanction Notices,https://public.govdelivery.com/accounts/BERMFSIU/signup/46844?FIA,https://public.govdelivery.com/accounts/BERMFSIU/signup/46844?FIA,reachable,200,FSIU Bermuda - Email Updates,generic-or-ambiguous-link,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BO,Bolivia,Central Bank of Bolivia,central_banking;prudential_supervision,Resoluciones,https://www.bcb.gob.bo/?q=content/resoluciones-de-directorio-1,https://www.bcb.gob.bo/?q=content/resoluciones-de-directorio-1,reachable,200,Resoluciones de Directorio | Banco Central de Bolivia,generic-or-ambiguous-link,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BA,Bosnia and Herzegovina,Central Bank of Bosnia and Herzegovina,central_banking,Education component,http://fined.cbbh.ba/,http://fined.cbbh.ba/home/language,reachable,200,Centralna banka Bosne i Hercegovine,generic-or-ambiguous-link,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BW,Botswana,Bank of Botswana,central_banking;prudential_supervision,Public Notice - Lower Denomination Coin Circulation,http://www.bankofbotswana.bw/sites/default/files/press-release-files/Public%20Notice%20-%20Lower%20Denomination%20Coin%20Cirulation.pdf,http://www.bankofbotswana.bw/sites/default/files/press-release-files/Public%20Notice%20-%20Lower%20Denomination%20Coin%20Cirulation.pdf,reachable,200,,generic-or-ambiguous-link,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BW,Botswana,Financial Intelligence Unit (FIU) - Botswana,financial_intelligence,Notice to Specified Parties and Accountable Institutions,https://www.finance.gov.bw/index.php?Itemid=466&option=com_content&view=category&id=58,https://www.finance.gov.bw/index.php?Itemid=466&option=com_content&view=category&id=58,http-404,404,404 - Category not found,not-observable,,0,,not-observable,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BW,Botswana,Non-Bank Financial Institutions Regulatory Authority (NBFIRA),insurance;pensions,Notice of Evaluated Technical Bids – Tender No: NBFIRA 001/26-27,https://www.nbfira.org.bw/news/notice-of-evaluated-technical-bids-tender-no-nbfira-001-26-27/,https://www.nbfira.org.bw/news/notice-of-evaluated-technical-bids-tender-no-nbfira-001-26-27/,reachable,200,Notice of Evaluated Technical Bids - Tender No: NBFIRA 001/26-27 - NBFIRA,generic-or-ambiguous-link,2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07;2026-08,31,2026-08,frequent-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BR,Brazil,Brazilian Pension Funds Authority,pensions,Sanções Administrativas,https://www.gov.br/previc/pt-br/acesso-a-informacao-1/sancoes-administrativas,https://www.gov.br/previc/pt-br/acesso-a-informacao-1/sancoes-administrativas,challenge-protected,200,Sanções Administrativas,not-observable,,0,,not-observable,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BR,Brazil,Comissão de Valores Mobiliários*,securities,Relatório de Atividade Sancionadora,https://www.gov.br/cvm/pt-br/centrais-de-conteudo/publicacoes/relatorios/relatorio-de-atividade-sancionadora,https://www.gov.br/cvm/pt-br/centrais-de-conteudo/publicacoes/relatorios/relatorio-de-atividade-sancionadora,challenge-protected,200,Relatório de Atividade Sancionadora da CVM — Comissão de Valores Mobiliários,not-observable,,0,,not-observable,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
VG,British Virgin Islands,Financial Investigation Agency British Virgin Islands (FIA),financial_intelligence,Supervision & Enforcement,https://fiabvi.vg/Supervision-Enforcement,https://fiabvi.vg/Supervision-Enforcement,reachable,200,British Virgin Islands Financial Investigation Agency > Supervision & Enforcement,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BN,Brunei,Brunei Darussalam Central Bank,central_banking;securities;insurance;financial_intelligence,Enforcement,https://www.bdcb.gov.bn/regulatory/enforcement,https://www.bdcb.gov.bn/regulatory/enforcement,reachable,200,Enforcement - BDCB,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BF,Burkina Faso,Central Bank of West African States (BCEAO),central_banking;prudential_supervision,Legal Notice,https://www.bceao.int/en,https://www.bceao.int/en,reachable,200,BCEAO | Banque Centrale des Etats de l’Afrique de l’Ouest,generic-or-ambiguous-link,2026-03;2026-05;2026-06;2026-07,4,2026-07,periodic-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BF,Burkina Faso,Conférence Interafricaine des Marchés d'Assurances (CIMA),insurance,Décisions du Conseil des Ministres des Assurances,https://cima-afrique.org/decisions-du-cma/,https://cima-afrique.org/decisions-du-cma/,reachable,200,Décisions du CMA – CIMA,generic-or-ambiguous-link,2026-07,1,2026-07,low-frequency-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CM,Cameroon,Bank of Central African States,central_banking,Circulaires et décisions,https://www.beac.int/p-des-changes/circulaires-et-decisions/,https://www.beac.int/p-des-changes/circulaires-et-decisions/,challenge-protected,200,Circulaires et décisions - BEAC,not-observable,,0,,not-observable,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CM,Cameroon,Conférence Interafricaine des Marchés d'Assurances (CIMA),insurance,Décisions du Conseil des Ministres des Assurances,https://cima-afrique.org/decisions-du-cma/,https://cima-afrique.org/decisions-du-cma/,reachable,200,Décisions du CMA – CIMA,generic-or-ambiguous-link,2026-07,1,2026-07,low-frequency-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CM,Cameroon,National Agency for Financial Investigation (NAFI),financial_intelligence,Voir plus,https://anif.cm/liste-des-sanctions-financieres-ciblees/,https://anif.cm/liste-des-sanctions-financieres-ciblees/,reachable,200,Liste des Sanctions Financiéres Ciblées – ANIF,strong-official-publication-candidate,2025-08,1,2025-08,low-frequency-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CA,Canada,Alberta Securities Commission,securities,Enforcement,https://www.asc.ca/,https://www.asc.ca/,reachable,200,ASC | Home Page Alberta Securities Commission,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CA,Canada,Bank of Canada,central_banking,See more,https://www.bankofcanada.ca/markets/market-notices/?content_type%5B%5D=388,https://www.bankofcanada.ca/markets/market-notices/?content_type%5B%5D=388,challenge-protected,200,Market notices - Bank of Canada,not-observable,2026-02;2026-03;2026-04;2026-05;2026-06;2026-07;2026-08,7,2026-08,not-observable,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CA,Canada,British Columbia Securities Commission,securities,Enforcing securities law,https://www.bcsc.bc.ca/enforcement,https://www.bcsc.bc.ca/enforcement,challenge-protected,200,Enforcement | BCSC,not-observable,,0,,not-observable,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CA,Canada,Financial Transactions and Reports Analysis Centre of Canada (FINTRAC-CANAFE),financial_intelligence,Enforcement actions taken,https://fintrac-canafe.canada.ca/pen/4-eng,https://fintrac-canafe.canada.ca/pen/4-eng,reachable,200,Public notice of administrative monetary penalties,strong-official-publication-candidate,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-02;2025-03;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-02;2026-03;2026-05;2026-07,26,2026-07,frequent-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CA,Canada,Office of the Superintendent of Financial Institutions,prudential_supervision;insurance,"Catastrophe bonds and risk transfer July 20, 2026",https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/regulatory-notice-using-natural-catastrophe-bonds-minimum-capital-test-guideline,https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/regulatory-notice-using-natural-catastrophe-bonds-minimum-capital-test-guideline,reachable,200,Regulatory notice on using natural catastrophe bonds in the Minimum Capital Test guideline - Office of the Superintendent of Financial Institutions,generic-or-ambiguous-link,2026-07,1,2026-07,low-frequency-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CA,Canada,Ontario Securities Commission*,securities,Enforcement,https://www.osc.ca/en/enforcement,https://www.osc.ca/en/enforcement,reachable,200,Enforcement | OSC,strong-official-publication-candidate,2025-09;2026-03;2026-04;2026-05;2026-06,5,2026-06,periodic-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
KY,Cayman Islands,Cayman Islands Monetary Authority,securities;insurance,Enforcement,https://www.cima.ky/enforcement-1,https://www.cima.ky/enforcement-1,challenge-protected,200,Enforcement,not-observable,,0,,not-observable,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CF,Central African Republic,Bank of Central African States,central_banking;prudential_supervision,Circulaires et décisions,https://www.beac.int/p-des-changes/circulaires-et-decisions/,https://www.beac.int/p-des-changes/circulaires-et-decisions/,challenge-protected,200,Circulaires et décisions - BEAC,not-observable,,0,,not-observable,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CF,Central African Republic,Conférence Interafricaine des Marchés d'Assurances (CIMA),insurance,Décisions du Conseil des Ministres des Assurances,https://cima-afrique.org/decisions-du-cma/,https://cima-afrique.org/decisions-du-cma/,reachable,200,Décisions du CMA – CIMA,generic-or-ambiguous-link,2026-07,1,2026-07,low-frequency-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
TD,Chad,Bank of Central African States,central_banking,Circulaires et décisions,https://www.beac.int/p-des-changes/circulaires-et-decisions/,https://www.beac.int/p-des-changes/circulaires-et-decisions/,challenge-protected,200,Circulaires et décisions - BEAC,not-observable,,0,,not-observable,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
TD,Chad,Conférence Interafricaine des Marchés d'Assurances (CIMA),insurance,Décisions du Conseil des Ministres des Assurances,https://cima-afrique.org/decisions-du-cma/,https://cima-afrique.org/decisions-du-cma/,reachable,200,Décisions du CMA – CIMA,generic-or-ambiguous-link,2026-07,1,2026-07,low-frequency-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CL,Chile,Comisión para el Mercado Financiero (Financial Market Commission),securities;insurance,CMF sanciona a corredora de bolsa por proporcionar información falsa sobre su situación financiera,https://www.cmfchile.cl/portal/prensa/625/w4-article-112799.html,https://www.cmfchile.cl/portal/prensa/625/w4-article-112799.html,reachable,200,CMF sanciona a corredora de bolsa por proporcionar información falsa sobre su situación financiera - CMF Chile - Prensa y presentaciones,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CL,Chile,Unidad de Analisis Financiero (UAF),financial_intelligence,Sanciones ejecutoriadas,https://www.uaf.cl/es-cl/publicaciones-uaf/sanciones-ejecutoriadas,https://www.uaf.cl/es-cl/publicaciones-uaf/sanciones-ejecutoriadas,reachable,200,Sanciones ejecutoriadas,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CN,China,China Securities Regulatory Commission*,securities,行政处罚,https://www.csrc.gov.cn/csrc/c101971/zfxxgk_zdgk.shtml,https://www.csrc.gov.cn/csrc/c101971/zfxxgk_zdgk.shtml,reachable,200,政府信息公开,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CN,China,The People's Bank of China,central_banking;prudential_supervision,Risk Warning and Financial Sanction-UN Regulations,https://www.pbc.gov.cn/en/3688241/3688636/3688648/index.html,https://www.pbc.gov.cn/en/3688241/3688636/3688648/index.html,reachable,200,Risk Warning and Financial Sanction-UN Regulations,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CO,Colombia,Superintendencia Financiera de Colombia,prudential_supervision;securities;insurance;pensions,Sanciones,https://www.superfinanciera.gov.co/publicaciones/20708/sanciones-20708/,https://www.superfinanciera.gov.co/publicaciones/20708/sanciones-20708/,reachable,200,Sanciones,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
KM,Comoros,Banque Centrale des Comores,central_banking;prudential_supervision,Décisions du conseil d'administration,https://banque-comores.km/page/show/decisions-du-conseil-dadministration,https://banque-comores.km/page/show/decisions-du-conseil-dadministration,reachable,200,Décisions du conseil d'administration | Banque Centrale des Comores,generic-or-ambiguous-link,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CK,Cook Islands,Financial Supervisory Commission,prudential_supervision;financial_intelligence,Sanctions,https://www.fsc.gov.ck/public/content.aspx?cn=CompanySanctions,https://www.fsc.gov.ck/public/content.aspx?cn=CompanySanctions,challenge-protected,200,Financial Supervisory Commission - Cook Islands,not-observable,,0,,not-observable,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CR,Costa Rica,Central Bank of Costa Rica,central_banking;prudential_supervision,Sanciones por hostigamiento sexual,https://www.bccr.fi.cr/cr/es/transparencia-institucional/informacion-institucional-y-tramites/sanciones-por-hostigamiento-sexual.html,https://www.bccr.fi.cr/cr/es/transparencia-institucional/informacion-institucional-y-tramites/sanciones-por-hostigamiento-sexual.html,challenge-protected,200,Sanciones por hostigamiento sexual,not-observable,,0,,not-observable,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CR,Costa Rica,Superintendencia General de Entidades Financieras (SUGEF),prudential_supervision,Sanciones,https://www.sugef.fi.cr/informacion_relevante/Sanciones/index.aspx,https://www.sugef.fi.cr/informacion_relevante/Sanciones/index.aspx,reachable,200,Hermes dot Net Websites Framework,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CR,Costa Rica,Superintendencia General de Valores,securities,Medidas disciplinarias,https://serviciosexternos.sugeval.fi.cr/RNVIWeb/MenuPrincipal/MedidasDisciplinarias,https://serviciosexternos.sugeval.fi.cr/RNVIWeb/MenuPrincipal/MedidasDisciplinarias,reachable,200,Medidas Disciplinarias,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CI,Côte d'Ivoire,Conférence Interafricaine des Marchés d'Assurances (CIMA),insurance,Décisions du Conseil des Ministres des Assurances,https://cima-afrique.org/decisions-du-cma/,https://cima-afrique.org/decisions-du-cma/,reachable,200,Décisions du CMA – CIMA,generic-or-ambiguous-link,2026-07,1,2026-07,low-frequency-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CI,Côte d'Ivoire,National Unit for the Processing of Financial Information in Côte d’Ivoire (CENTIF-CI),financial_intelligence,Liste des sanctions,https://www.centif.ci/liste-des-sanctions/,https://www.centif.ci/liste-des-sanctions/,reachable,200,Liste des Sanctions Financieres Ciblées (SFC) - CENTIF CI,strong-official-publication-candidate,2024-04;2026-01;2026-06,3,2026-06,low-frequency-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
HR,Croatia,Croatian Financial Services Supervisory Agency,securities;insurance;pensions,Više,https://www.hanfa.hr/vijesti/pruzanje-kriptousluga-od-1-srpnja-2026-za-drustva-obvezna-kriptolicenca-i-upis-u-hanfine-registre-a-korisnike-se-poziva-na-oprez/,https://www.hanfa.hr/vijesti/pruzanje-kriptousluga-od-1-srpnja-2026-za-drustva-obvezna-kriptolicenca-i-upis-u-hanfine-registre-a-korisnike-se-poziva-na-oprez/,reachable,200,"HANFA - Pružanje kriptousluga od 1. srpnja 2026.: za društva obvezna kriptolicenca i upis u Hanfine registre, a korisnike se poziva na oprez",generic-or-ambiguous-link,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CY,Cyprus,Central Bank of Cyprus,central_banking;prudential_supervision,Administrative Sanctions & Measures,https://www.centralbank.cy/en/administrative-sanctions-and-measures,https://www.centralbank.cy/en/administrative-sanctions-and-measures,challenge-protected,200,Central Bank of Cyprus - Administrative Sanctions & Measures,not-observable,2025-09;2025-10;2025-12,3,2025-12,not-observable,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CY,Cyprus,Cyprus Securities and Exchange Commission,securities,Κυρώσεις/Περιοριστικά Μέτρα,https://www.cysec.gov.cy/el-GR/legislation/sanctions/,https://www.cysec.gov.cy/el-GR/legislation/sanctions/,challenge-protected,200,Επιτροπή Κεφαλαιαγοράς Κύπρου | Κυρώσεις/Περιοριστικά Μέτρα,not-observable,,0,,not-observable,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CZ,Czechia,Czech National Bank,central_banking;prudential_supervision;securities;insurance;pensions,Bank Board decisions,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/,reachable,200,Bank Board decisions - Czech National Bank,generic-or-ambiguous-link,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
CZ,Czechia,Financial Analytical Unit (FAU-CR),financial_intelligence,"Информация для арендаторов недвижимости, находящейся под санкциями",https://www.fau.gov.cz/cs/rozcestnik/reseni-nekterych-zivotnich-situaci/informaciya-dlya-arendatorov-nedvizhimosti-nahodya-196,https://www.fau.gov.cz/cs/rozcestnik/reseni-nekterych-zivotnich-situaci/informaciya-dlya-arendatorov-nedvizhimosti-nahodya-196,challenge-protected,200,"Информация для арендаторов недвижимости, находящейся под санкциями | FAÚ",not-observable,,0,,not-observable,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
DO,Dominican Republic,Central Bank of the Dominican Republic,central_banking,Resoluciones JM,https://bancentral.gov.do/a/resoluciones,https://bancentral.gov.do/a/resoluciones,reachable,200,Banco Central de la República Dominicana,generic-or-ambiguous-link,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
DO,Dominican Republic,Pensions Superintendency,pensions,Otras Leyes afines,https://sipen.gob.do/normativas/otras-leyes-afines,https://sipen.gob.do/normativas/otras-leyes-afines,reachable,200,SIPEN - Superintendencia de Pensiones · SIPEN,generic-or-ambiguous-link,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
DO,Dominican Republic,Superintendencia de Seguros,insurance,Sanciones,https://sis.gob.do/transparencia/sanciones/,https://sis.gob.do/transparencia/sanciones/,reachable,200,Superintendencia de Seguros - OGTIC y el Gabinete de Innovación,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
DO,Dominican Republic,Unidad de Analisis Financiero (UAF),financial_intelligence,Lista de Resoluciones de la ONU,https://www.un.org/securitycouncil/es/content/un-sc-consolidated-list,https://main.un.org/securitycouncil/es/content/un-sc-consolidated-list,reachable,200,Lista consolidada del Consejo de Seguridad de la Naciones Unidas | Consejo de Seguridad,plausible-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
EC,Ecuador,"Superintendencia de Compañías, Valores y Seguros",securities,Publicaciones y Resoluciones,https://publico.supercias.gob.ec/publicacionesCompanias/menuPublicaciones.jsf,https://publico.supercias.gob.ec/publicacionesCompanias/menuPublicaciones.jsf,reachable,200,PUBLICACIÓN DE RESOLUCIONES Y EXTRACTOS,generic-or-ambiguous-link,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
EC,Ecuador,Unidad de Analisis Financiero y Economico del Ecuador (UAFE),financial_intelligence,Resolución / UAFE fortalece el regimém sancionador,http://www.uafe.gob.ec/,http://www.uafe.gob.ec/,reachable,200,Unidad de Análisis Financiero y Económico – UAFE,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
GQ,Equatorial Guinea,Bank of Central African States,central_banking,Circulaires et décisions,https://www.beac.int/p-des-changes/circulaires-et-decisions/,https://www.beac.int/p-des-changes/circulaires-et-decisions/,challenge-protected,200,Circulaires et décisions - BEAC,not-observable,,0,,not-observable,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
GQ,Equatorial Guinea,Conférence Interafricaine des Marchés d'Assurances (CIMA),insurance,Décisions du Conseil des Ministres des Assurances,https://cima-afrique.org/decisions-du-cma/,https://cima-afrique.org/decisions-du-cma/,reachable,200,Décisions du CMA – CIMA,generic-or-ambiguous-link,2026-07,1,2026-07,low-frequency-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
EE,Estonia,Estonian Financial Intelligence Unit (Estonian FIU),financial_intelligence,"23. juulil võttis Euroopa Liit (EL)🇪🇺 vastu 21. sanktsioonipaketi seoses Venemaa agressiooniga ja Valgevene režiimi tegevusega Ukraina vastu. Kokku lisati sanktsiooninimekirja 🚫218 inimest ja organisatsiooni. ⚠️Finantssanktsioon 📌Tehingukeeldu laiendati 33 Venemaa krediidi- ja finantsasutusele, ühele Kõrgõzstani pangale ning kolmele teisele väljaspool Venemaad tegutsevale pangale. Nüüdsest on pea kõik suuremad Venemaa pangad sanktsioonide all. Täiendavalt eemaldati 33 Venemaa panka rahvusvahelisest SWIFT-maksesüsteemist. Varade täielik külmutamine puudutab 94 Venemaa panka ja finantsasutust, sh Moskva börsi. 📌Tehingukeelu alla lisati 14 krüptoplatvormi. Uus õiguslik alus võimaldab ELil keelata tehingud krüptovarateenuse pakkujatega, kes võimaldavad Venemaal sanktsioonidest kõrvale hiilida. ⚠️Teised valdkondlikud piiravad meetmed 📌Sanktsiooninimekirja lisati 41 laeva, peamiselt varilaevastiku tankerid. Sellega kasvas sanktsioonide alla pandud aluste koguarv 673-ni. 📌Tehingukeelu nimekirja lisati kaks Venemaa sadamat, aga ka neli lennujaama. 📌Ühtlasi laiendas EL piiranguid laevadele, mis punkerdavad, tangivad või teenindavad muul viisil juba sanktsioneeritud aluseid. 📌Lepiti kokku sammudes, mille alusel keelata lühiajalised ELi viisad Venemaa relvajõududes või seotud rühmitustes Ukraina‑vastases sõjategevuses osalenud isikutele. 📌Lisandus alus ELi kohtutele ja liikmesriikidele mitte tunnustada ega täita Venemaa kohtuotsuseid ELi sanktsioone puudutavates menetlustes. ℹRahapesu Andmebüroo on pädev asutus finantssanktsiooni korral. Sanktsiooni subjektide ELis olevad varad tuleb külmutada ning neile ei tohi majandusressursse kättesaadavaks teha. Sanktsiooni kohaldamisel lähtu õigusaktist, sh sätestatud üleminekuajast. ❗️Lisateavet vaata Välisministeeriumi kodulehelt https://vm.ee/tegevused/rahvusvahelised-sanktsioonid/muudatused-rahvusvahelistes-sanktsioonides?sort=decision_date&page=1 #sanktsioon #finantssanktsioon #SlavaUkraini🇺🇦 #StandwithUkraine Estonian Ministry of Foreign Affairs / Välisministeerium",https://facebook.com/102210322426157_1025691216755449,https://www.facebook.com/FIUEstonia/posts/pfbid0jFQTtEisksj5s8bdLYPRJa1FnspZFNMe5g2f4areE5Vj4qedSj9SWx19BooAGuiql,reachable,200,23. juulil võttis Euroopa Liit... - Rahapesu Andmebüroo,plausible-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
SZ,Eswatini,Eswatini Financial Intelligence Centre (EFIC),financial_intelligence,Enforcement & Sanctions,https://www.efic.org.sz/compliance/enforcement/,https://www.efic.org.sz/compliance/enforcement/,reachable,200,Enforcement & Sanctions | Compliance :: Eswatini Financial Intelligence Centre (EFIC),strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
